project_id_original,project_id,researcher,title,institution,award_amount
CB-2002,39982,América Molina del Villar,"Demografía y movimientos de población en el campo mexicano. Los pueblos y haciendas del área central, siglos XVIII y XIX.",Centro de Investigaciones y Estudios Superiores en Antropología Social,787982
CB-2002,39986,María del Consuelo Gómez García,Mecanismos de control transcripcional de los genes de resistencia a múltiples fármacos EhPgp1 y EhPgp5 de Entamoeba histolytica,Instituto Politécnico Nacional,570000
CB-2002,39989,Alberto Díaz Díaz,Método para Predecir la Delaminación Debida a Efectos de Borde en Materiales Multicapas Inelásticos,"Centro de Investigación en Materiales Avanzados, S.C.",676192
CB-2002,39994,Jesús Efrén Pérez Terrazas,Representaciones de bocses,Universidad Autónoma de Coahuila,22800
CB-2002,39995,Diana María  Escalante Alcalde,Análisis del papel de la fosfatasa de ácido fosfatídico tipo 2b durante el desarrollo embrionario,Universidad Nacional Autónoma de México,1850316
CB-2002,39996,Lilia Roselia Prado Leon,"Estudio Antropométrico de la población de las ciudades de Mexico DF, Monterrey y Guadalajara para el diseño ergonómico",Universidad de Guadalajara,973934
CB-2002,40001,Alfonso Leon Del Rio,Caracterización molecular de los mecanismos de transducción de señales y regulación de la transcripción genética dependientes de la vitamina biotina,Universidad Nacional Autónoma de México,1057175
CB-2002,40004,Federico Zertuche Mones,"Gráficas Aleatorias, Sistemas Dinámicos Complejos y Combinatoria",Universidad Nacional Autónoma de México,190000
CB-2002,40009,José Pedraza Chaverrí,"Estudio comparativo de diferentes presentaciones y compuestos del ajo sobre la hipertensión arterial, la oxidación de las LDL y la insuficiencia renal aguda y crónica",Universidad Nacional Autónoma de México,1480805
CB-2002,40011,Fikrat Abdullaev Jafarova,Actividad antitumoral de las lectinas de leguminosas mexicanas solas y en combinacion con compuestos del selenio,Instituto Nacional de Pediatría,1672208
CB-2002,40016,Carlos Riojas López,El occidente de México y sus modos de industrialización en el siglo XIX: Enfoques metodológicos y evidencias empíricas,Universidad de Guadalajara,451575
CB-2002,40018,Roberto Giovanni Terlevich Afonso,A Detailed Study of Stellar Populaitons in Active and Normal early Type Galaxies,"Instituto Nacional de Astrofísica, Optica y Electrónica",380000
