project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,Modeling and implementation of free space optical transceiver for next generation optical communication applications.,Modeling and implementation of free space optical transceiver for next generation optical communication applications.,,,,,"Dr. Vijay Janyani
Dr. Tawfik Ismail",,"Dept. of Electronics and Communication Engineering (MNIT), Jaipur
Departemnt of Engineering, NILES, Cairo",,,,,,,,,,,,,,,
,,Decision Support System to Estimate Water Requirements for the Major Crops,Decision Support System to Estimate Water Requirements for the Major Crops,,,,,"Dr. Rakesh Sharda
Dr. Mohamed Abdrabou",,"Dept. of Soil and Water Engineering Punjab Agricultural Univ., Ludhiana
29 El-Bost St. Cario Egypt.",,,,,,,,,,,,,,,
,,Fabrication and Characterization of Functional Polymeric matrix by click-chemistry for Medical Applications and 3D bioprinting.,Fabrication and Characterization of Functional Polymeric matrix by click-chemistry for Medical Applications and 3D bioprinting.,,,,,"Dr. Sourabh Ghosh
Dr. Nabil Youssri Abouzied",,"Department of Textile Technology (IIT) Delhi
 El- Behouth St. Dokki, Cairo , Egypt",,,,,,,,,,,,,,,
,,Production of new non- toxic photoluminescent nano-materials and their applications in energy and forensic fields,Production of new non- toxic photoluminescent nano-materials and their applications in energy and forensic fields,,,,,"Dr. L. Robindro Singh
Mona Mostafa Saif",,"Nanotech North-Eastern Hill University, Shillong
Ain Sharms University",,,,,,,,,,,,,,,
,,Novel porous materials as electrolytes for energy devices,Novel porous materials as electrolytes for energy devices,,,,,"Dr. A. Manuel Stephan
Mohmed Helmy Alkordi",,"CSIR-CECRI, Karaikudi
University of Science and Technology, Center for Material Science, Zewail, Egypt.",,,,,,,,,,,,,,,
,,Plastic to Fuel (p2f): Gasification and Pyrolysis of Waste Plastic for Fuel Generation through Nano Catalytic Conversion,Plastic to Fuel (p2f): Gasification and Pyrolysis of Waste Plastic for Fuel Generation through Nano Catalytic Conversion,,,,,"Er. Paltu Acharjee
Dr. Asmaa Hamouda",,"Energy Environment Technology Development(TERI)New Delhi
Faculty of the Postgraduate Studies, Beni-Suef University.",,,,,,,,,,,,,,,
,,Fabrication of thin film solar cell based on nanostructured Cu2 ZnSn(SxSe1-x)4,Fabrication of thin film solar cell based on nanostructured Cu2 ZnSn(SxSe1-x)4,,,,,"Dr. Pramod S. Patil
Prof. Mostafa Boshta",,"Thin Film Materials Laboratory, Shivaji University, Kolhapur
Solid State Physics Dept. National Research Centre, Egypt.",,,,,,,,,,,,,,,
,,Borate based bioactive glass nano-fibres for topical application for treatment of non healing diabetic wounds,Borate based bioactive glass nano-fibres for topical application for treatment of non healing diabetic wounds,,,,,"Jui Chakraborty
Mona K. Marei",,"Bioceramics and Coating Division (CGCRI) Jadavpur, Kolkata
Faculty of Dentistry, Alexandria University, Egypt.",,,,,,,,,,,,,,,
,,High performance 1D metal oxide/Type II QDs hybrid nanoarchitecture for solar energy conversion,High performance 1D metal oxide/Type II QDs hybrid nanoarchitecture for solar energy conversion,,,,,"Chinnakonda S. Gopinath
Aiat Hegazy",,"Catalysis Division, National Chemical Laboratory , Pune
National Research Centre, Solar Energy Department, Giza",,,,,,,,,,,,,,,
,,Damping enhancement of Laminated Composite Plate using CNT.,Damping enhancement of Laminated Composite Plate using CNT.,,,,,"Dr. S. Devendiran
Dr. Nouby mahdy Ghazaly",,"Dept. of Design and automation Engineering, VIT university
Dept. of Mechanical Eng. South Valley University",,,,,,,,,,,,,,,
,,Studying structure and chemistry within and at the interfaces of nano lamella in cold rolled Ti- alloys using Transmission Electron Microscopy to determine reason behind its superior strength,Studying structure and chemistry within and at the interfaces of nano lamella in cold rolled Ti- alloys using Transmission Electron Microscopy to determine reason behind its superior strength,,,,,"Somnath Bhattacharyya
Mohamed Abdel-hady Gepreel",,"Dept. of Metallurgical and Materials Engineering IIT–M, Chennai
Japan University for Science and Technology, Egypt.",,,,,,,,,,,,,,,
,,Organic- inorganic hybrid mesoporous materials as carriers of Anti- inflammatory Drugs for Controlled Delivery Systems,Organic- inorganic hybrid mesoporous materials as carriers of Anti- inflammatory Drugs for Controlled Delivery Systems,,,,,"Prof. Asim Bhaumik
Prof. Amany A. Mostafa",,"Senior Prof. Deptt. of Materials Science Jadavpur, Kolkata
National Research Center, Egypt",,,,,,,,,,,,,,,
,,Nano materials- RO antifouling membrane formulations for water desalination,Nano materials- RO antifouling membrane formulations for water desalination,,,,,"Dr. Raghuram Chetty
Dr. Marwa S. Shalaby",,"Prof. Chemical Engineering Department IIT-M, Chennai
National Research Centre - Giza- Egypt",,,,,,,,,,,,,,,
,,Probing the foundation of quantum mechanics in neutrino oscillations,Probing the foundation of quantum mechanics in neutrino oscillations,,,,,"Subhashish Banerjee
Beatrix Hiesmayr",,"1102-b academic block IIT Jodhpur, -342011 Rajasthan
Waehringertrasse 17 1090 Vienna Austria",,,,,,,,,,,,,,,
,,Defining optimal imagining sequence for 3 tesla MR and image deformation techniques for dose reporting for MR guided brachytherapy of cervical cancer.,Defining optimal imagining sequence for 3 tesla MR and image deformation techniques for dose reporting for MR guided brachytherapy of cervical cancer.,,,,,"Dr. Supriya Jayant Sastri
Dr. Alina Sturdza",,"Department of Radiation Advance centre for treatment Navi Mumbai India
Comprehensive cancer center Vienna Department of Radiation, General hospital Of Vienna",,,,,,,,,,,,,,,
,,Onset of solar flares and flare-CME associations,Onset of solar flares and flare-CME associations,,,,,"Dr.Bhuwan Joshi
Dr. Astrid Veronig",,"Udaipur Solar Observatory (Physical Research Laboratory)
Institute of Physics/ IGAM University of Graz",,,,,,,,,,,,,,,
,,"Evaluation of Bioenergetic functions of mitochondria in Leishmania parasites and
mammalian macrophages","Evaluation of Bioenergetic functions of mitochondria in Leishmania parasites and
mammalian macrophages",,,,,"Prof. Mitali Chatterjee
Prof. Lars Gille",,"Department of Pharmacology,
Institute of Postgraduate Medical
Education & Research
Institute for Pharmacology and Toxicology, University of Veterinary Medicine",,,,,,,,,,,,,,,
,,Targeting Cancer Stem Cells through One Drug Multi-Target Approach,Targeting Cancer Stem Cells through One Drug Multi-Target Approach,,,,,"Dr. Vinod Kumar
Dr. Ira-Ida Skvortsova",,"Central University of Punjab
Department of Therapeutic Radiology and Oncology, Innsbruck Medical University",,,,,,,,,,,,,,,
,,Qos-aware Energy management scheme for self sustainable data centers using renewable energy resources.,Qos-aware Energy management scheme for self sustainable data centers using renewable energy resources.,,,,,"Dr.Neeraj Kumar
Dr. Radu Pordan",,"Computer science & engineering department. University of Patiala
Institute of computer Science University Of Innsburk",,,,,,,,,,,,,,,
,,"Neurodegeneration with Brain Iron Accumulation: Iron biomarker
and therapeutic options","Neurodegeneration with Brain Iron Accumulation: Iron biomarker
and therapeutic options",,,,,"Dr. (Mrs.) Moganty R. Rajeswari
Dr. Scheiber-Mojdehkar",,"Department of Medical Chemistry, All India Institute of Medical Sciences
Department of Medical Chemistry Medical University of
Vienna",,,,,,,,,,,,,,,
,,"Development of CAD tools for Synthesis, Optimization and Verification of Digital Circuits
using Memristors","Development of CAD tools for Synthesis, Optimization and Verification of Digital Circuits
using Memristors",,,,,"Dr. Kamalika Datta
Dr. Robert Wille",,"Computer Science and Engineering National Institute of Technology Meghalaya
Institute for Integrated Circuits Johannes Kepler University Linz",,,,,,,,,,,,,,,
,,"Biogas for the people sustainable utilization strategies in India and Austria for agricultural, agro- industrial and municipal residues utilization for robust biogas production process.","Biogas for the people sustainable utilization strategies in India and Austria for agricultural, agro- industrial and municipal residues utilization for robust biogas production process.",,,,,"Dr. Vivekanand
Dr. Alexander Bauer",,"Malviya National Institute Technology Jaipur, India
Head of division of Agriculture engineering . Vienna ,Austria",,,,,,,,,,,,,,,
DST/INT/HUN/P- 12/2017,,ICT Based Tools for Assessment and Improvement of Efficacy of Upper Limb Robotic Rehabilitation Using Thermographic Diagnostic Method,ICT Based Tools for Assessment and Improvement of Efficacy of Upper Limb Robotic Rehabilitation Using Thermographic Diagnostic Method,,,,,"Dr. Prasant Mahapatra
Dr. Gabor Fazekas",,"CSIR-Central Scientific Instruments Organisation, Biomedical Instrumentation Division
National Institute for Medical Rehabilitation",,,,,,,,,,,,,,,
DST/INT/HUN/P- 13/2017,,Development of PEM fuel-cell stacks for utilization of hydrogen from renewable sources,Development of PEM fuel-cell stacks for utilization of hydrogen from renewable sources,,,,,"Prof. Parasuraman Selvam
Dr. András Tompos",,"Indian Institute of Technology-Madras
Hungarian Academy of Sciences",,,,,,,,,,,,,,,
DST/INT/HUN/P- 14/2017,,Novel oxy-halide superionic glasses for safe rechargeable solid state batteries,Novel oxy-halide superionic glasses for safe rechargeable solid state batteries,,,,,"Dr. Atul Khanna
Dr. Margit Fábián",,"Guru Nanak Dev University
Centre for Energy Research",,,,,,,,,,,,,,,
DST/INT/HUN/P- 15/2017,,DEM-AID: Innovative drug development against dementia,DEM-AID: Innovative drug development against dementia,,,,,"Prof. Sadhana Sathaye
Dr. Kovács Péter",,"Institute of Chemical Technology Mumbai
Professional Leader 2131 Göd, Thököly u.15",,,,,,,,,,,,,,,
DST/INT/HUN/P- 16/2017,,Etiopathology of Myxozoan Infection in Fresh Water Edible Fishes and Its Prospective Control Using Plant Based Aqua Soluble Drugs,Etiopathology of Myxozoan Infection in Fresh Water Edible Fishes and Its Prospective Control Using Plant Based Aqua Soluble Drugs,,,,,"Prof. Prabir K. Bandyopadhyay
Dr. Székely Csaba",,"Department of Zoology University Kalyani
Institute for Veterinary Medical Research, Centre for Agricultural Research, Hungarian Academy of Sciences",,,,,,,,,,,,,,,
DST/INT/HUN/P- 17/2017,,Development of new approach in wastewater treatment with self cleaning membrane technology and regeneration of membranes via natural source for restoring water ecosystem.,Development of new approach in wastewater treatment with self cleaning membrane technology and regeneration of membranes via natural source for restoring water ecosystem.,,,,,"Dr. G. Arthanareeswaran
Dr. László Zsuzsanna",,"National Institute of Technology, Tiruchirappalli
Hungary",,,,,,,,,,,,,,,
DST/INT/HUN/P- 18/2017,,"Harnessing the robust, scalable, and highly porous nonwoven metamaterials with interface engineering aided carbon nanotubes for oil spill clean- ups","Harnessing the robust, scalable, and highly porous nonwoven metamaterials with interface engineering aided carbon nanotubes for oil spill clean- ups",,,,,"Dr. Amit Rawal
Dr. Kukovecz Ákos",,"Indian Institute of Technology Delhi Delhi
University of Szeged",,,,,,,,,,,,,,,
,,Isolation and characterization of monoclonal antibodies from HIV- 1 sub type C infected individuals,Isolation and characterization of monoclonal antibodies from HIV- 1 sub type C infected individuals,,,,,"Dr. Jayanta Bhattacharya
Prof. Lynn Morris",,"Translational Health Science and Technology Institute (THSTI), Faridabad
National Institute for Communicable Disease, Johannesburg",,,,,,,,,,,,,,,
,,Association of therapeutic outcomes with second-line drug exposures in a cohort of patients with drug resistant TB: a Pharmacokinetic- pharmacodynamic assessme,Association of therapeutic outcomes with second-line drug exposures in a cohort of patients with drug resistant TB: a Pharmacokinetic- pharmacodynamic assessme,,,,,"Dr. Tester F. Ashavaid
Prof. E. Variava",,"P D Hinduja Hospital & MRC, Mumbai
University of Witwatersrand, South Africa",,,,,,,,,,,,,,,
,,Identification of novel biomarkers in active and latent TB in conjunction with HIV coinfection,Identification of novel biomarkers in active and latent TB in conjunction with HIV coinfection,,,,,"Prof. Gobardhan Das
Prof. Thumbi Ngundú",,"Jawaharlal Nehru University (JNU), New Delhi
HIV pathogenesis Programme, Durban",,,,,,,,,,,,,,,
,,R&D of nanostructured microwave composites with enhanced wear resistance,R&D of nanostructured microwave composites with enhanced wear resistance,,,,,"Dr. Apurbba Kumar Sharma
Dr. Zgalat-Lozynsky Ostap",,"Indian Institute of Technology Roorkee
Institute for Problems of Materials Science(IPMS)",,,,,,,,,,,,,,,
,,Development of the method for determination of soil quality by the system “e-nose”,Development of the method for determination of soil quality by the system “e-nose”,,,,,"Dr. Ravi Chand Singh
Dr. Astrelin Ihor",,"Department of Physics, Guru Nanak Dev University Amritsar
National Technical University of Ukraine «Igor Sikorsky Kyiv Polytechnic Institute»",,,,,,,,,,,,,,,
,,Advanced computational techniques for sloshing analysis in fuel tanks with baffles,Advanced computational techniques for sloshing analysis in fuel tanks with baffles,,,,,"Dr. Neelam Choudhary
Dr. Оlena Strelnikova",,"Department of Mathematics, Bennett University, Greater Noida
A.N. Podgorny Institute for Mechanical Engineering Problems",,,,,,,,,,,,,,,
,,"Hydrodynamic cavitation based
intensified and low cost technology for industrial wastewater treatment containing toxic organic compounds and solid particles","Hydrodynamic cavitation based
intensified and low cost technology for industrial wastewater treatment containing toxic organic compounds and solid particles",,,,,"Dr. Parag Gogate
Prof. Zenovii Znak",,"Institute of Chemical Technology, Mumbai
Institute of Chemistry and Chemical Technology, Lviv Polytechnic National University, NAS of Ukraine",,,,,,,,,,,,,,,
